기간	자치구	동	구분	계	0~4세	5~9세	10~14세	15~19세	20~24세	25~29세	30~34세	35~39세	40~44세	45~49세	50~54세	55~59세	60~64세	65~69세	70~74세	75~79세	80~84세	85~89세	90~94세	95~99세	100세 이상+
2021	중랑구	묵2동	남자	9,250	235.5	290	299	317.5	500	793.5	759.5	765	733.5	684.5	758	788.5	750	615	417	296	174.5	61.5	11	0.5	-
2021	중랑구	묵2동	여자	9,614	243	253.5	276.5	290.5	539.5	828.5	739.5	693	642.5	740	789	810.5	867	696.5	460	360	233	102.5	38.5	9	1.5
2021	중랑구	망우3동	계	16,529	331	412	457.5	645.5	998	1,235.5	1,037	1,031.5	1,028	1,267	1,589.5	1,613	1,600.5	1,176	857.5	594	373.5	194	75.5	11	1.5
2021	중랑구	망우3동	남자	8,291	192	198	207.5	293.5	511	636	567.5	553.5	557	626.5	780.5	834.5	847.5	561.5	412.5	265.5	160	71	15.5	-	-
2021	중랑구	망우3동	여자	8,238	139	214	250	352	487	599.5	469.5	478	471	640.5	809	778.5	753	614.5	445	328.5	213.5	123	60	11	1.5
2021	중랑구	신내1동	계	38,887	1,169	1,965	2,018.5	1,768.5	2,247.5	2,566	2,252	2,631.5	3,052	2,857.5	3,184.5	3,221.5	3,298	2,344	1,617	1,193.5	865.5	412.5	165	47	11
2021	중랑구	신내1동	남자	18,882	606	993	1,045.5	904.5	1,163.5	1,286	1,124.5	1,272	1,530.5	1,404	1,490.5	1,541.5	1,576	1,145	760	532	342.5	131	27	7	-
2021	중랑구	신내1동	여자	20,005	563	972	973	864	1,084	1,280	1,127.5	1,359.5	1,521.5	1,453.5	1,694	1,680	1,722	1,199	857	661.5	523	281.5	138	40	11
2021	중랑구	신내2동	계	20,667	540.5	739.5	782	890.5	1,124	1,353	1,360	1,500	1,497.5	1,592	1,760	1,706	1,849.5	1,463.5	928.5	693.5	512	268	84.5	18.5	4
2021	중랑구	신내2동	남자	9,848	291.5	366	399.5	450	574	686.5	673.5	737	761.5	770	821.5	798.5	818	703	430.5	268	181	89	23.5	4	1.5
2021	중랑구	신내2동	여자	10,819	249	373.5	382.5	440.5	550	666.5	686.5	763	736	822	938.5	907.5	1,031.5	760.5	498	425.5	331	179	61	14.5	2.5
2021	중랑구	면목본동	계	33,642	679.5	821.5	798.5	1,084.5	2,061.5	3,207.5	2,763	2,459	2,279	2,579.5	3,110.5	3,019.5	2,850	2,063.5	1,550.5	1,189	712	306	85	21.5	1
2021	중랑구	면목본동	남자	16,657	353	421.5	385	532	1,067.5	1,571.5	1,439	1,312.5	1,252	1,301	1,515	1,504	1,424.5	959.5	678	522.5	307.5	92	13.5	5.5	-
2021	중랑구	면목본동	여자	16,985	326.5	400	413.5	552.5	994	1,636	1,324	1,146.5	1,027	1,278.5	1,595.5	1,515.5	1,425.5	1,104	872.5	666.5	404.5	214	71.5	16	1
2021	중랑구	면목3.8동	계	24,857	502	557.5	611.5	822	1,519	2,186	1,860	1,660	1,582.5	1,793.5	2,313	2,262.5	2,318.5	1,697.5	1,282.5	947.5	593	240	89	18.5	1
2021	중랑구	면목3.8동	남자	12,325.5	246	295.5	318.5	426	764	1,095.5	990.5	884.5	864	902.5	1,136	1,097.5	1,089.5	832.5	606.5	408	262	76.5	23	6.5	0.5
2021	중랑구	면목3.8동	여자	12,531.5	256	262	293	396	755	1,090.5	869.5	775.5	718.5	891	1,177	1,165	1,229	865	676	539.5	331	163.5	66	12	0.5
2021	중랑구	망우본동	계	30,861.5	792	886	873.5	1,078.5	1,702.5	2,487.5	2,180.5	2,138.5	2,079.5	2,137.5	2,682.5	2,902	2,974.5	2,167.5	1,507	1,093	693.5	339.5	114.5	27.5	4
2021	중랑구	망우본동	남자	15,483	395	460	422	553.5	842	1,268.5	1,144.5	1,105.5	1,114.5	1,157	1,337.5	1,473.5	1,500	1,073	738.5	493	264	107.5	28	4.5	1
2021	중랑구	망우본동	여자	15,378.5	397	426	451.5	525	860.5	1,219	1,036	1,033	965	980.5	1,345	1,428.5	1,474.5	1,094.5	768.5	600	429.5	232	86.5	23	3
2021	성북구	소계	계	427,809	11,740.5	16,310	17,253.5	19,191	31,778	34,135.5	28,261.5	30,360.5	31,605.5	36,022	36,568	31,317.5	31,071	23,579.5	17,792	14,546.5	9,843	4,504.5	1,572.5	319	37.5
2021	성북구	소계	남자	206,299.5	6,036.5	8,298.5	8,821	9,726	14,456	17,174.5	14,158	15,081.5	15,614.5	17,724	18,119.5	15,329	14,684.5	10,961.5	7,821	6,274.5	3,973.5	1,587.5	393	59.5	5.5
2021	성북구	소계	여자	221,509.5	5,704	8,011.5	8,432.5	9,465	17,322	16,961	14,103.5	15,279	15,991	18,298	18,448.5	15,988.5	16,386.5	12,618	9,971	8,272	5,869.5	2,917	1,179.5	259.5	32
2021	성북구	돈암1동	계	14,837.5	359	445	526.5	749	991.5	1,020	987	940.5	927.5	1,190.5	1,370	1,277.5	1,237.5	935	709.5	538.5	373	193	59.5	5	2.5
2021	성북구	돈암1동	남자	6,948	176.5	216	255	365.5	448	477	478.5	470	450	547.5	656	618.5	586.5	420.5	321	235.5	140.5	68.5	16	1	-
2021	성북구	돈암1동	여자	7,889.5	182.5	229	271.5	383.5	543.5	543	508.5	470.5	477.5	643	714	659	651	514.5	388.5	303	232.5	124.5	43.5	4	2.5
2021	성북구	돈암2동	계	23,973	718	1,228	1,424	1,363	1,518	1,389	1,324	1,640.5	1,942	2,393	2,281	1,772.5	1,584	1,136	783	636	454	262.5	105.5	18	1
2021	성북구	돈암2동	남자	11,384.5	380.5	604.5	708	687	755	675	649	742	888.5	1,152	1,090	860.5	739	530.5	348	265.5	185.5	93.5	28	2.5	-
2021	성북구	돈암2동	여자	12,588.5	337.5	623.5	716	676	763	714	675	898.5	1,053.5	1,241	1,191	912	845	605.5	435	370.5	268.5	169	77.5	15.5	1
2021	성북구	안암동	계	14,788.5	192.5	240	271.5	536.5	2,529.5	2,585.5	1,170.5	831.5	717	878.5	1,047	898.5	814.5	642	477.5	464	289.5	146.5	47	7	2
2021	성북구	안암동	남자	7,442	97.5	121.5	143.5	277.5	1,139.5	1,516.5	661	458	383.5	435	512	457	389.5	286.5	202	189	115.5	47.5	8.5	1	-
2021	성북구	안암동	여자	7,346.5	95	118.5	128	259	1,390	1,069	509.5	373.5	333.5	443.5	535	441.5	425	355.5	275.5	275	174	99	38.5	6	2
2021	성북구	보문동	계	15,339.5	485	473.5	415.5	514.5	1,091	1,565.5	1,325	1,249.5	1,085.5	1,213.5	1,357.5	1,136.5	1,110.5	772.5	582.5	457	310.5	138.5	48	7.5	-
2021	성북구	보문동	남자	7,403	235.5	243	197.5	252.5	534.5	747.5	680.5	641.5	572.5	588	640.5	563.5	529	355	246.5	200	118.5	52	4	1	-
2021	성북구	보문동	여자	7,936.5	249.5	230.5	218	262	556.5	818	644.5	608	513	625.5	717	573	581.5	417.5	336	257	192	86.5	44	6.5	-
2021	성북구	정릉1동	계	18,203	580.5	822	831	920	1,174.5	1,077.5	1,162	1,388.5	1,476.5	1,677.5	1,534.5	1,270.5	1,251	970	751.5	610	428.5	197.5	70.5	8	1
2021	성북구	정릉1동	남자	8,758.5	309.5	435	426	438.5	560.5	559	559	693	714	810.5	763	610.5	601	435.5	325.5	251.5	169.5	75.5	18.5	3	-
2021	성북구	정릉1동	여자	9,444.5	271	387	405	481.5	614	518.5	603	695.5	762.5	867	771.5	660	650	534.5	426	358.5	259	122	52	5	1
2021	성북구	정릉2동	계	23,001.5	654	805.5	808	1,026.5	1,527.5	1,687	1,434	1,655.5	1,639.5	1,851	1,944	1,755.5	1,895	1,442.5	1,109	840.5	559.5	256	96	14.5	0.5
